nome;uf;total_presencas
Rafael Simoes;MG;95
Douglas Viegas;SP;95
Rafael Brito;AL;95
Prof. Reginaldo Veras;DF;95
Paulo Pimenta;RS;95
Carlos Chiodini;SC;95
Allan Garcês;MA;95
Alfredo Gaspar;AL;95
Beto Richa;PR;95
Luiz Couto;PB;95
Marcelo Crivella;RJ;95
Lêda Borges;GO;95
Luciano Alves;PR;95
Fábio Macedo;MA;95
Miguel Ângelo;MG;95
Murilo Galdino;PB;95
Josivaldo JP;MA;95
Juscelino Filho;MA;95
Daniela do Waguinho;RJ;95
Socorro Neri;AC;94
Coronel Assis;MT;94
Guilherme Boulos;SP;94
Laura Carneiro;RJ;94
Dagoberto Nogueira;MS;94
Roberto Monteiro Pai;RJ;94
Pinheirinho;MG;94
Roberto Monteiro;RJ;94
Dr Flávio;RJ;94
Coronel Ulysses;AC;94
Coronel Meira;PE;94
Dal Barreto;BA;94
Marcos Pollon;MS;93
Chico Alencar;RJ;93
Sargento Gonçalves;RN;93
Zé Vitor;MG;93
Capitão Alden;BA;93
Duarte Jr.;MA;92
Fernando Mineiro;RN;92
Duarte;MA;92
Dr. Remy Soares;MA;92
Ricardo Ayres;TO;92
Pauderney Avelino;AM;92
Mendonça Filho;PE;92
Marx Beltrão;AL;92
Cabo Gilberto Silva;PB;92
Tarcísio Motta;RJ;92
Priscila Costa;CE;92
Professora Luciene Cavalcante;SP;92
Raniery Paulino;PB;92
Átila Lira;PI;91
Sanderson;RS;90
Alexandre Leite;SP;90
Eduardo Bolsonaro;SP;89
Delegado Éder Mauro;PA;89
Junio Amaral;MG;89
Jones Moura;RJ;89
Celso Russomanno;SP;89
Mário Heringer;MG;88
Hugo Leal;RJ;87
Beto Preto;PR;86
Carlos Henrique Gaguim;TO;84
Deltan Dallagnol;PR;83
Ely Santos;SP;83
Ulisses Guimarães;MG;81
Márcio Correa;GO;81
Sidney Leite;AM;80
Fatima Pelaes;AP;80
João Carlos Bacelar;BA;80
Aureo Ribeiro;RJ;80
Damião Feliciano;PB;80
Pedro Lucas Fernandes;MA;79
Felipe Saliba;MG;78
Jorge Solla;BA;78
Paulinho da Força;SP;78
Tadeu Oliveira;CE;76
Hildo Rocha;MA;75
Flavinha;MT;74
Juliana Kolankiewicz;MT;74
Silvio Antonio;MA;74
Flávia Morais;GO;73
Luisa Canziani;PR;72
Marcelo Calero;RJ;72
Tabata Amaral;SP;72
Átila Lins;AM;72
Professor Alcides;GO;72
Professora Marcivania;AP;72
Maria Rosas;SP;72
Lídice da Mata;BA;72
Patrus Ananias;MG;72
Paulo Azi;BA;71
Idilvan Alencar;CE;71
Moses Rodrigues;CE;71
Adriana Ventura;SP;71
Zeca Dirceu;PR;71
Sóstenes Cavalcante;RJ;71
Diego Garcia;PR;71
Alice Portugal;BA;71
Bacelar;BA;71
Ribeiro Neto;MA;70
Ronaldo Nogueira;RS;70
Marcel van Hattem;RS;70
Júlio Oliveira;TO;70
General Girão;RN;69
Luciano Ducci;PR;68
Vanderlan Alves;CE;68
Elisangela Araujo;BA;68
Dra. Mayra Pinheiro;CE;67
Sergio Santos Rodrigues;MG;65
Newton Bonin;PR;64
Leonardo Monteiro;MG;63
Rogério Correia;MG;63
Erika Kokay;DF;62
Talíria Petrone;RJ;61
Zé Silva;MG;61
Waldenor Pereira;BA;59
Evair Vieira de Melo;ES;58
Eliane Braz;CE;57
Pedro Uczai;SC;57
